Stab,ST2,ST4,Brand,Sample Code,Data,Gruppo parametri,ABD,Alcol % peso,Alcol % vol,Amaro,Apparent Attenuation (%),Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Azoto alfa-amminico t.q.,Cellule all'insemenzamento,Chill-back Start Time,Colore EBC,Data riempimento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Durata raffreddamento,Estratto apparente,Estratto apparente limite %Pp,Estratto reale ,Fermentation rate (13.5°-5.5°),Fermentazione STEP 1,Fermentazione STEP 2,Final attenuation (EVG),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),Hopped Wort Actidione,Iso-alfa acidi,Maturazione STEP 3,NBB-A,NBB-B,Occupancy in fermentation,Occupancy in fermentation Racking,Pentandione + precursori,pH,pH minimo (End of Ferm),Plato chiusura freddo,Quotazione lievito - NBB-B,Raffreddamento STEP 3,Raffreddamento STEP 4,Rapporto ER/ABW,Temperatura Fermentazione,Temperatura STEP 1,Temperatura STEP 2,Temperatura STEP 3,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Fermentazione ASD,,,,,,,,,15.10,141.00,,,14.00,,6.15,27.00,,,,2.21,,,,,,,,,,,,168.00,,19.00,,,,,,,,10.00,,,,4.50,11.71
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Lista di fermentazione ASD,,4.43,5.64,21.60,85.87,70.74,85.40,64.00,,,9.40,,,0.51,,,1.75,1.24,3.79,,,,89.97,12.37,,,,,,,,,,,4.08,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000175,08/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Fermentazione ASD,,,,,,,,,15.30,134.00,,,20.00,,5.55,32.00,,,,2.07,,,,,,,,,,,,166.00,,17.00,,,,,,,,10.00,,,,4.85,14.42
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Lista di fermentazione ASD,,4.47,5.66,21.00,86.05,70.93,85.50,65.00,,,9.70,,,0.36,,,1.73,1.37,3.78,,,,88.93,12.38,,,,,,,,,,,4.06,,,,,,0.85,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000176,08/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Fermentazione ASD,,,,,,,,,15.90,163.00,,,9.00,,13.00,24.00,,,,2.10,,,,,,,,,,,,187.00,,11.00,,,,,,,,10.00,,,,9.00,13.63
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Lista di fermentazione ASD,,4.39,5.58,21.90,85.37,70.34,85.40,61.00,,,9.60,,,0.55,,,1.80,1.25,3.82,,,,89.50,12.31,,,,,,,,,,,4.09,,,,,,0.87,,,,,,
PD,FE,FEAS,Asahi Super Dry,20000669,13/01/2020,Microbiologia FV48/96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,
