,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
0,0.0,5.71,7.31,62.35,79.88,15.1,48.0,1.03,22.4,3.23,2.2,5.23,2.25,16.05,0.0,0.0,0.0,0.0,68.0,4.21,0.92,12.807534027221777,2.0,11.219009009009008
1,0.0,5.31,6.78,67.34,83.23,10.1,48.0,0.32,19.0,2.52,2.2,4.91,2.79,15.03,0.0,0.0,0.0,0.0,76.0,4.22,0.92,13.0,2.5,11.219009009009008
2,0.0,5.34,6.81,68.95,84.17,16.0,34.0,0.14,6.0,2.34,2.2,4.67,2.37,14.78,0.0,0.0,0.0,0.0,39.0,4.22,0.86,12.807534027221777,2.2,11.219009009009008
3,0.0,4.39,5.66,63.05,75.84,13.0,38.0,1.05,44.0,3.25,2.78,4.98,2.31,13.48,0.0,0.0,0.0,0.0,41.0,4.22,1.13,12.807534027221777,2.0,11.219009009009008
4,0.0,5.3,6.77,67.15,81.85,16.0,51.0,0.53,44.25,2.73,2.2,4.95,2.4,15.07,0.0,0.0,0.0,0.0,61.0,4.21,0.94,12.0,2.0,11.219009009009008
5,0.0,5.32,6.79,67.33,82.84,12.0,43.0,0.38,40.15,2.58,2.2,4.92,2.49,15.06,0.0,0.0,0.0,0.0,58.0,4.23,0.92,13.0,2.0,11.219009009009008
6,0.0,5.31,6.78,67.66,83.46,17.6,39.0,0.28,44.3,2.48,2.2,4.84,1.68,14.97,0.0,0.0,0.0,0.0,60.0,4.21,0.91,12.807534027221777,2.2,11.0
7,0.0,5.32,6.8,67.19,82.47,14.59,39.0,0.45,36.4,2.65,2.2,4.95,1.99,15.09,0.0,0.0,0.0,0.0,55.0,4.29,0.93,12.807534027221777,2.1,11.0
8,0.0,4.43,5.64,70.74,85.4,15.1,14.0,0.51,6.15,1.75,1.24,3.79,2.21,12.37,0.0,0.0,0.0,0.0,19.0,4.08,0.85,10.0,4.5,11.71
9,0.0,4.47,5.66,70.93,85.5,15.3,20.0,0.36,5.55,1.73,1.37,3.78,2.07,12.38,0.0,0.0,0.0,0.0,17.0,4.06,0.85,10.0,4.85,14.42
10,0.0,4.79,6.12,65.92,81.53,14.8,37.0,0.27,44.0,2.57,2.3,4.75,2.23,13.94,0.0,0.0,0.0,0.0,60.0,4.3,0.99,12.807534027221777,1.91,11.0
11,0.0,5.03,6.42,67.34,83.4,14.0,41.0,0.12,168.0,2.37,2.25,4.67,2.29,14.3,0.0,0.0,0.0,0.0,53.0,4.25,0.93,12.807534027221777,1.5,11.0
12,0.0,4.72,6.03,66.09,81.8,18.0,23.0,0.2,264.0,2.5,2.3,4.65,1.9,13.71,0.0,0.0,0.0,0.0,25.0,4.1,0.99,12.807534027221777,1.5,11.0
13,0.0,5.33,6.8,68.58,84.8,17.5,46.0,0.05,5.55,2.25,2.2,4.66,1.9,14.83,0.0,0.0,0.0,0.0,65.0,4.4,0.87,12.807534027221777,1.7,11.0
14,0.0,5.27,6.73,67.27,83.23,14.0,38.0,0.16,284.0,2.51,2.35,4.89,1.9,14.94,0.0,0.0,0.0,0.0,51.0,4.25,0.93,12.807534027221777,2.5,11.0
15,0.0,5.75,7.34,68.97,85.24,11.6,43.0,0.04,288.0,2.34,2.3,4.91,2.3,15.82,0.0,0.0,0.0,0.0,47.0,4.4,0.85,12.807534027221777,2.5,11.219009009009008
16,0.0,4.4,5.63,61.54,77.93,18.7,47.0,0.08,284.0,3.03,2.95,5.28,1.9,13.73,0.0,0.0,0.0,0.0,52.0,4.26,1.2,12.807534027221777,1.6,11.219009009009008
17,0.0,5.0,6.38,67.99,84.13,16.6,43.0,0.04,168.0,2.24,2.2,4.51,3.0,14.09,0.0,0.0,0.0,0.0,42.0,4.19,0.9,13.0,1.5,10.0
18,0.0,5.16,6.59,67.3,83.24,18.5,45.0,0.1,23.15,2.45,2.35,4.79,2.4,14.65,0.0,0.0,0.0,0.0,58.0,4.23,0.93,13.0,2.5,10.0
19,0.0,5.03,6.42,67.68,83.73,16.5,50.0,0.07,25.55,2.32,2.25,4.6,2.4,14.23,0.0,0.0,0.0,0.0,61.0,4.22,0.91,13.0,2.5,10.0
20,0.0,4.39,5.58,70.34,85.4,15.9,9.0,0.55,13.0,1.8,1.25,3.82,2.1,12.31,0.0,0.0,0.0,0.0,11.0,4.09,0.87,10.0,9.0,13.63
21,0.0,4.39,5.59,70.46,85.4,15.2,14.0,0.49,11.0,1.78,1.29,3.81,2.13,12.3,0.0,0.0,0.0,0.0,14.0,4.09,0.87,10.0,8.4,15.38
22,0.0,5.08,6.48,67.21,83.09,18.5,44.0,0.09,39.15,2.44,2.35,4.74,2.4,14.45,0.0,0.0,0.0,0.0,63.0,4.29,0.93,13.0,2.5,10.0
23,0.0,5.33,6.8,68.53,84.74,14.4,47.0,0.06,42.3,2.26,2.2,4.67,1.9,14.84,0.0,0.0,0.0,0.0,83.0,4.15,0.88,12.807534027221777,2.4,10.9
24,0.0,4.74,6.05,66.13,81.86,18.0,42.0,0.2,3.3,2.5,2.3,4.66,1.98,13.76,0.0,0.0,0.0,0.0,56.0,4.1,0.98,12.807534027221777,2.5,10.5
25,0.0,5.42,6.92,67.72,83.76,18.0,22.0,0.18,16.1,2.48,2.3,4.92,2.5,15.24,0.0,0.0,0.0,0.0,27.0,4.2,0.91,12.807534027221777,2.2,11.0
26,0.0,5.07,6.47,66.46,82.2,15.0,50.0,0.29,11.4,2.59,2.3,4.89,2.76,14.58,0.0,0.0,0.0,0.0,80.0,4.12,0.96,13.0,2.5,10.0
27,0.0,5.15,6.57,67.12,83.04,18.0,27.0,0.14,48.0,2.49,2.35,4.82,2.31,14.66,0.0,0.0,0.0,0.0,40.0,4.2,0.94,12.807534027221777,2.4,11.0
28,0.0,4.46,5.7,62.12,79.46,19.0,45.0,0.08,43.15,2.83,2.75,5.22,2.2,13.78,0.0,0.0,0.0,0.0,45.0,4.26,1.17,12.807534027221777,1.8,11.219009009009008
29,0.0,5.78,7.38,68.72,84.8,11.3,32.0,0.12,36.5,2.42,2.3,4.99,2.9,15.95,0.0,0.0,0.0,0.0,30.0,4.28,0.86,12.807534027221777,2.4,11.219009009009008
30,0.0,4.06,5.18,64.92,80.39,15.4,50.0,0.08,20.47475871313673,2.38,2.3,4.25,1.67,12.12,0.0,0.0,0.0,0.0,56.0,4.12,1.05,10.0,2.8270625,15.75
31,0.0,4.96,6.34,65.62,81.16,16.4,32.0,0.42,30.3,2.72,2.3,4.97,2.56,14.46,0.0,0.0,0.0,0.0,42.0,4.26,1.0,13.0,2.3,10.0
32,0.0,4.96,6.33,66.95,82.84,15.6,26.0,0.13,30.25,2.43,2.3,4.69,2.4,14.19,0.0,0.0,0.0,0.0,35.0,4.11,0.95,13.0,2.4,9.8
33,0.0,5.05,6.44,67.71,83.78,16.2,43.0,0.07,33.25,2.32,2.25,4.61,2.77,14.28,0.0,0.0,0.0,0.0,74.0,4.17,0.91,13.0,2.2,9.8
34,0.0,4.47,5.68,70.69,85.6,15.2,15.0,0.42,6.5,1.77,1.35,3.83,2.1,12.46,0.0,0.0,0.0,0.0,21.0,4.1,0.86,10.0,3.99,15.54
35,0.0,4.46,5.68,70.54,86.5,15.6,5.0,0.47,14.0,1.8,1.33,3.85,2.27,12.47,0.0,0.0,0.0,0.0,11.0,4.07,0.86,10.0,8.1,12.25
36,0.0,4.43,5.63,70.43,85.5,16.5,14.0,0.48,10.3,1.8,1.32,3.84,1.98,12.4,0.0,0.0,0.0,0.0,22.0,4.09,0.87,10.0,4.25,14.75
37,0.0,4.43,5.64,70.27,85.5,16.4,17.0,0.54,17.41,1.83,1.29,3.87,2.0,12.43,0.0,0.0,0.0,0.0,24.0,4.06,0.87,10.0,4.75,14.46
38,0.0,5.27,6.73,67.5,83.52,14.0,43.0,0.1,39.2,2.45,2.35,4.84,1.92,14.89,0.0,0.0,0.0,0.0,57.0,4.2,0.92,12.807534027221777,2.4,10.8
39,0.0,5.19,6.62,68.08,84.18,14.4,47.0,0.05,33.2,2.3,2.25,4.65,2.02,14.57,0.0,0.0,0.0,0.0,67.0,4.2,0.9,12.807534027221777,2.2,11.0
40,0.0,5.16,6.59,67.02,82.89,16.0,46.0,0.22,48.0,2.52,2.3,4.85,1.9,14.7,0.0,0.0,0.0,0.0,66.0,4.3,0.94,12.807534027221777,2.4,11.0
41,0.0,5.0,6.38,66.4,82.2,16.0,35.0,0.26,9.0,2.56,2.3,4.84,2.56,14.4,0.0,0.0,0.0,0.0,49.0,4.23,0.97,13.0,2.5,10.0
42,0.0,4.95,6.32,67.05,82.93,15.6,31.0,0.11,11.15,2.41,2.3,4.66,2.95,14.14,0.0,0.0,0.0,0.0,49.0,4.24,0.94,13.0,2.0,10.0
43,0.0,4.96,6.33,66.85,82.72,15.3,30.0,0.15,18.15,2.45,2.3,4.71,2.4,14.21,0.0,0.0,0.0,0.0,50.0,4.26,0.95,13.0,2.3,10.0
44,0.0,4.84,6.19,65.0,80.4,15.0,44.0,0.49,20.47475871313673,2.79,2.3,4.99,1.46,14.26,0.0,0.0,0.0,0.0,52.0,4.31,1.03,12.0,2.8270625,12.58
